outlet,category,link
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/dalits-voting-kejriwal-showing-interest-in-congress-and-bjp-in-delhi-election-2025-opnm1-dskc-2154341-2025-01-30
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/why-rahul-gandhi-come-out-against-arvind-kejriwal-here-is-the-strategy-of-congress-opns2-dskc-2154368-2025-01-29
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/arvind-kejriwal-trying-to-woo-voters-in-delhi-election-emotionally-through-his-interviews-and-speeches-opnm1-dskc-2149446-2025-01-28
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/arvind-kejriwal-fearing-drop-in-number-of-aap-seats-in-delhi-elections-why-opnm1-dskc-2150407-2025-01-28
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/arvind-kejriwal-issues-15-guarantees-accepts-he-failed-to-fulfill-3-poll-promises-from-2020-manifesto-opnm1-dskc-2152414-2025-01-27
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/pm-modi-and-congress-targets-arvind-kejriwal-for-alleged-corruption-by-aap-government-opnm1-dskc-2149229-2025-01-23
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/kejriwal-middle-class-menifesto-how-effective-is-aap-master-stroke-in-delhi-assembly-elections-opns2-dskc-2148677-2025-01-22
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/arvind-kejriwal-defeat-or-victory-in-delhi-assembly-elections-is-sure-to-stir-the-indian-politics-opns2-dskc-2147994-2025-01-21
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/arvind-kejriwal-faces-new-allegations-of-corruption-from-bjp-after-declaration-affidavit-opnm1-dskc-2145542-2025-01-17
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/bjp-promises-delhi-many-freebies-except-revdis-like-electricity-water-education-opnm1-dskc-2145640-2025-01-17
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/arvind-kejriwal-plan-to-distance-himself-from-rahul-gandhi-seems-to-be-failing-in-delhi-elections-opns2-dskc-2143707-2025-01-15
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/arvind-kejriwal-cannot-become-cm-again-bjp-pravesh-verma-mentioning-supreme-court-bail-conditions-opns2-dskc-2142374-2025-01-13
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/arvind-kejriwal-raising-demand-for-jat-reservation-will-cost-heavy-in-delhi-assembly-elections-opns2-dskc-2139939-2025-01-09
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/has-congress-surrendered-to-aam-aadmi-party-in-delhi-assembly-election-opns2-dskc-2139523-2025-01-09
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/arvind-kejriwal-performance-in-delhi-election-will-affect-bjp-and-congress-equally-opnm1-dskc-2139525-2025-01-09
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/delhi-assembly-election-displays-interesting-political-equations-of-india-bloc-opnm1-dskc-2138974-2025-01-08
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/arvind-kejriwal-made-a-blunder-by-not-forming-an-alliance-with-congress-in-the-delhi-assembly-elections-opns2-dskc-2138804-2025-01-08
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/chief-election-commissioner-clarification-on-election-commission-voter-deletion-evm-hacking-voter-turnout-opns2-dskc-2138190-2025-01-07
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/kejriwal-faces-parvesh-verma-and-sandeep-dikshit-on-new-delhi-assembly-seat-election-opnm1-dskc-2137987-2025-01-07
AajTak,column,https://www.aajtak.in/opinion-analysis-/story/bjp-has-surrounded-aam-aadmi-party-and-kejriwal-in-delhi-assembly-elections-opns2-dskc-2137283-2025-01-06
TimesOfIndia,column,https://timesofindia.indiatimes.com/blogs/toi-edit-page/servant-leadership-true-power-lies-in-empathy/
TimesOfIndia,column,https://timesofindia.indiatimes.com/blogs/toi-editorials/start-small-in-capital/
TimesOfIndia,column,https://timesofindia.indiatimes.com/blogs/toi-edit-page/the-very-pragmatic-middle-class-poor/
TimesOfIndia,column,https://timesofindia.indiatimes.com/blogs/toi-edit-page/why-power-makes-aam-aadmi-khaas/
TimesOfIndia,column,https://timesofindia.indiatimes.com/blogs/toi-editorials/lesson-no-1/
TimesOfIndia,column,https://timesofindia.indiatimes.com/blogs/toi-edit-page/what-delhi-said-and-what-delhi-wants/
TimesOfIndia,column,https://timesofindia.indiatimes.com/blogs/toi-edit-page/as-kejriwals-delhi-model-loses-aapeal-two-key-questions-for-national-politics/
TimesOfIndia,column,https://timesofindia.indiatimes.com/blogs/toi-edit-page/the-battle-for-the-capital/
TimesOfIndia,column,https://timesofindia.indiatimes.com/blogs/toi-editorials/water-and-voter/
HindusanTimes,column,https://www.hindustantimes.com/opinion/bjps-ncr-moment-show-intent-to-address-pollution-101739806527202.html
HindusanTimes,column,https://www.hindustantimes.com/opinion/keeping-up-with-up-lessons-from-delhi-victory-for-uttar-pradesh-and-the-country-101739284438785.html
HindusanTimes,column,https://www.hindustantimes.com/opinion/delhi-results-are-likely-to-weaken-india-bloc-101739111725216.html
HindusanTimes,column,https://www.hindustantimes.com/opinion/delhi-debacle-tells-a-tale-of-kejriwal-s-fall-101739111548611.html
HindusanTimes,column,https://www.hindustantimes.com/opinion/how-the-aap-lost-its-plot-and-office-in-delhi-101739028604070.html
HindusanTimes,column,https://www.hindustantimes.com/opinion/what-explains-the-big-bjp-win-in-the-capital-101739028597471.html
Mint,column,https://www.livemint.com/opinion/online-views/delhi-middle-class-voters-bjp-won-election-narendra-modi-arvind-kejriwal-aap-atishi-bjp-mlas-parvesh-verma-kalkaji-11739171710891.html
Mint,column,https://www.livemint.com/opinion/online-views/delhi-election-result-aap-aam-aadmi-party-bjp-bharatiya-janata-party-arvind-kejriwal-atishi-new-cm-narendra-modi-lose-11739096797275.html
BusinessStandard,column,https://www.business-standard.com/opinion/editorial/now-to-governance-delhi-s-new-govt-has-opportunity-to-deliver-seamlessly-125022001340_1.html
BusinessStandard,column,https://www.business-standard.com/politics/aap-govt-s-delhi-excise-policy-caused-rs-2-000-crore-loss-cag-report-125022501224_1.html
BusinessStandard,column,https://www.business-standard.com/politics/delhi-assembly-session-aap-mlas-atishi-suspend-vijender-gupta-cag-report-125022500299_1.html
BusinessStandard,column,https://www.business-standard.com/india-news/first-session-of-delhi-s-8th-assembly-begins-post-bjp-s-return-to-power-125022400297_1.html
BusinessStandard,column,https://www.business-standard.com/india-news/rekha-gupta-delhi-cm-bjp-aap-atishi-exchequer-rs-2500-monthly-scheme-women-125022400205_1.html
BusinessStandard,column,https://www.business-standard.com/india-news/latest-live-elon-musk-gives-federal-workers-2-days-to-justify-their-jobs-or-risk-dismissal-125022300076_1.html
BusinessStandard,column,https://www.business-standard.com/india-news/delhi-cm-rekha-gupta-holds-meeting-with-pm-modi-at-his-residence-today-125022200378_1.html
BusinessStandard,column,https://www.business-standard.com/politics/delhi-cm-rekha-gupta-meets-president-droupadi-murmu-at-rashtrapati-bhavan-125022100658_1.html
BusinessStandard,column,https://www.business-standard.com/india-news/delhi-cm-rekha-gupta-slams-aap-congress-on-bjp-promises-125022100575_1.html
BusinessStandard,column,https://www.business-standard.com/politics/cong-aap-didn-t-address-issues-of-delhi-we-did-so-on-day-one-rekha-gupta-125022100449_1.html
BusinessStandard,column,https://www.business-standard.com/politics/mayawati-accuses-congress-of-being-bjp-s-b-team-in-delhi-elections-125022100270_1.html
BusinessStandard,column,https://www.business-standard.com/india-news/we-have-called-meeting-with-pwd-jal-board-officials-today-delhi-cm-gupta-125022100152_1.html
BusinessStandard,column,https://www.business-standard.com/politics/rekha-gupta-sworn-in-as-delhi-cm-bjp-s-delhi-dream-takes-shape-125022001427_1.html
BusinessStandard,column,https://www.business-standard.com/opinion/editorial/now-to-governance-delhi-s-new-govt-has-opportunity-to-deliver-seamlessly-125022001340_1.html
BusinessStandard,column,https://www.business-standard.com/india-news/delhi-portfolios-rekha-gupta-keeps-finance-parvesh-verma-gets-pwd-water-125022001324_1.html
BusinessStandard,column,https://www.business-standard.com/india-news/delhi-cm-rekha-gupta-ministers-perform-yamuna-aarti-at-vasudev-ghat-125022001067_1.html
BusinessStandard,column,https://www.business-standard.com/politics/rekha-gupta-s-cabinet-ensures-diverse-representation-in-delhi-govt-125022001030_1.html
BusinessStandard,column,https://www.business-standard.com/india-news/delhi-cm-rekha-gupta-to-assume-office-chair-first-cabinet-meeting-today-125022000650_1.html
BusinessStandard,column,https://www.business-standard.com/politics/rekha-gupta-delhi-cm-oath-taking-parvesh-verma-kapil-mishra-bjp-nda-125022000501_1.html
BusinessStandard,column,https://www.business-standard.com/politics/as-bjp-makes-a-comeback-in-delhi-after-27-years-challenges-await-new-govt-125022000414_1.html
BusinessStandard,column,https://www.business-standard.com/india-news/rekha-gupta-delhi-cm-cabinet-parvesh-verma-kapil-mishra-manjinder-sirsa-125022000228_1.html
